Letter,City,Country,River,Animal,Name
A,Albuquerque,Angola,Amazon,Armadillo,Ashley
B,Baghdad,Benin,Brahmaputra,Bobcat,Beverley
C,Cape Town,Czech Republic,Congo,Caterpillar,Caroline
D,Dijon,Djibouti,Danube,Dingo,Devon
E,Eindhoven,Eritrea,Elbe,Eel,Eleanor
F,Fresno,Fiji ,Feather,Flamingo,Francesca
G,Graz,Guatemala,Ganges,Gazelle,Gerome
H,Hanoi,Honduras,Halifax,Hare,Humphrey
I,Indianapolis,Israel,Indus ,Ibis,Ismael
J,Jakarta,Jamaica,Japurá,Jackal,Jordan
K,Kathmandu,Kazakhstan,Kent,Komodo dragon,Ken
L,Luxor,Laos,Lech,Lobster,Liam
M,Manila,Mali,Mississippi ,Macaque,Monika
N,Nagasaki,Namibia,Niger,Nightingale,Naesh
O,Orléans,Oman,Oder,Ostrich,Omar
P,Parma,Palestine,Po,Pheasant,Pamela
Q,Qatif,Qatar,Queich,Quail,Quentin
R,Raqqa,Rwanda,Rio Grande,Raccoon,Rufus
S,San Pedro,Samoa,Saar,Seahorse,Stella
T,Tours,Trinidad and Tobago,Thames,Tapir,Tabitha
U,Utrecht,Uzbekistan,Ural,Umbrellabird,Uma
V,Verona,Vatican City State,Volga,Vulture,Vera
W,Wuhan,Western Samoa,Weser,Wasp,William
X,Xi'an,n/a,Xi Jiang,Xantus's hummingbird,Xena
Y,Yokohama,Yemen,Yangtze,Yak,Yannick
Z,Zagreb,Zimbabwe,Zambezi,Zebra,Zachary
